TIPO_COD,COD,ETIQUETA
ORIGEN,1,USMER
ORIGEN,2,FUERA DE USMER
ORIGEN,99,NO ESPECIFICADO
SECTOR,1,CRUZ ROJA
SECTOR,2,DIF
SECTOR,3,ESTATAL
SECTOR,4,IMSS
SECTOR,5,IMSS-BIENESTAR
SECTOR,6,ISSSTE
SECTOR,7,MUNICIPAL
SECTOR,8,PEMEX
SECTOR,9,PRIVADA
SECTOR,10,SEDENA
SECTOR,11,SEMAR
SECTOR,12,SSA
SECTOR,13,UNIVERSITARIO
SECTOR,99,NO ESPECIFICADO
SEXO,1,MUJER
SEXO,2,HOMBRE
SEXO,99,NO ESPECIFICADO
TIPO_PACIENTE,1,AMBULATORIO
TIPO_PACIENTE,2,HOSPITALIZADO
TIPO_PACIENTE,99,NO ESPECIFICADO
SI_NO,1,SI 
SI_NO,2,NO 
SI_NO,97,NO APLICA
SI_NO,98,SE IGNORA
SI_NO,99,NO ESPECIFICADO
NACIONALIDAD,1,MEXICANA
NACIONALIDAD,2,EXTRANJERA
NACIONALIDAD,99,NO ESPECIFICADO
RESULTADO,1,Positivo SARS-CoV-2
RESULTADO,2,No positivo SARS-CoV-2
RESULTADO,3,Resultado pendiente
ENTIDAD,01,AGUASCALIENTES
ENTIDAD,02,BAJA CALIFORNIA
ENTIDAD,03,BAJA CALIFORNIA SUR
ENTIDAD,04,CAMPECHE
ENTIDAD,05,COAHUILA DE ZARAGOZA
ENTIDAD,06,COLIMA
ENTIDAD,07,CHIAPAS
ENTIDAD,08,CHIHUAHUA
ENTIDAD,09,CIUDAD DE MÉXICO
ENTIDAD,10,DURANGO
ENTIDAD,11,GUANAJUATO
ENTIDAD,12,GUERRERO
ENTIDAD,13,HIDALGO
ENTIDAD,14,JALISCO
ENTIDAD,15,MÉXICO
ENTIDAD,16,MICHOACÁN DE OCAMPO
ENTIDAD,17,MORELOS
ENTIDAD,18,NAYARIT
ENTIDAD,19,NUEVO LEÓN
ENTIDAD,20,OAXACA
ENTIDAD,21,PUEBLA
ENTIDAD,22,QUERÉTARO
ENTIDAD,23,QUINTANA ROO
ENTIDAD,24,SAN LUIS POTOSÍ
ENTIDAD,25,SINALOA
ENTIDAD,26,SONORA
ENTIDAD,27,TABASCO
ENTIDAD,28,TAMAULIPAS
ENTIDAD,29,TLAXCALA
ENTIDAD,30,VERACRUZ DE IGNACIO DE LA LLAVE
ENTIDAD,31,YUCATÁN
ENTIDAD,32,ZACATECAS
ENTIDAD,36,ESTADOS UNIDOS MEXICANOS
ENTIDAD,97,NO APLICA
ENTIDAD,98,SE IGNORA
ENTIDAD,99,NO ESPECIFICADO
CVE_MUN_SSA,01001,AGUASCALIENTES
CVE_MUN_SSA,01002,ASIENTOS
CVE_MUN_SSA,01003,CALVILLO
CVE_MUN_SSA,01004,COSÍO
CVE_MUN_SSA,01005,JESÚS MARÍA
CVE_MUN_SSA,01006,PABELLÓN DE ARTEAGA
CVE_MUN_SSA,01007,RINCÓN DE ROMOS
CVE_MUN_SSA,01008,SAN JOSÉ DE GRACIA
CVE_MUN_SSA,01009,TEPEZALÁ
CVE_MUN_SSA,01010,EL LLANO
CVE_MUN_SSA,01011,SAN FRANCISCO DE LOS ROMO
CVE_MUN_SSA,01999,NO ESPECIFICADO
CVE_MUN_SSA,02001,ENSENADA
CVE_MUN_SSA,02002,MEXICALI
CVE_MUN_SSA,02003,TECATE
CVE_MUN_SSA,02004,TIJUANA
CVE_MUN_SSA,02005,PLAYAS DE ROSARITO
CVE_MUN_SSA,02999,NO ESPECIFICADO
CVE_MUN_SSA,03001,COMONDÚ
CVE_MUN_SSA,03002,MULEGÉ
CVE_MUN_SSA,03003,LA PAZ
CVE_MUN_SSA,03008,LOS CABOS
CVE_MUN_SSA,03009,LORETO
CVE_MUN_SSA,03999,NO ESPECIFICADO
CVE_MUN_SSA,04001,CALKINÍ
CVE_MUN_SSA,04002,CAMPECHE
CVE_MUN_SSA,04003,CARMEN
CVE_MUN_SSA,04004,CHAMPOTÓN
CVE_MUN_SSA,04005,HECELCHAKÁN
CVE_MUN_SSA,04006,HOPELCHÉN
CVE_MUN_SSA,04007,PALIZADA
CVE_MUN_SSA,04008,TENABO
CVE_MUN_SSA,04009,ESCÁRCEGA
CVE_MUN_SSA,04010,CALAKMUL
CVE_MUN_SSA,04011,CANDELARIA
